Anime,Director
Initial D Legend 1: Awakening, Masamitsu Hidaka
Neon Genesis Evangelion: The End of Evangelion, Kazuya Tsurumaki
The Eden of Grisaia, Motoki Tanaka
Working'!!, Atsushi Ootsuki
Naruto Shippuden Movie 6: Road to Ninja, Hayato Date
Lupin III vs Detective Conan: The Movie, Hajime Kamegaki
Jormungand, Keitarou Motonaga
Free! -Timeless Medley- The Bond, Eisaku Kawanami
My Next Life as a Villainess: All Routes Lead to Doom!, Keisuke Inoue
High School DxD NEW, Tetsuya Yanagisawa
Detective Conan Movie 2: The Fourteenth Target, Kenji Kodama
Hozuki's Coolheadedness OVA 2, Hiro Kaburagi
Eden of the East, Kenji Kamiyama
Attack on Titan: Lost Girls, Masashi Koizuka
Mobile Suit Gundam: The 08th MS Team, Umanosuke Iida
Mobile Suit Gundam: The 08th MS Team, Takeyuki Kanda
Mobile Suit Gundam: The 08th MS Team, Kunihiro Mori
Mobile Suit Gundam Wing: Endless Waltz Movie, Yasunao Aoki
Wolf's Rain OVA, Tensai Okamura
Berserk: Golden Age Arc I - The Egg of the King, Toshiyuki Kubooka
The Quintessential Quintuplets, Satoshi Kuwabara
Kaiji - Ultimate Survivor, Yuuzou Satou
"The Night is Short, Walk On Girl", Masaaki Yuasa
Orange, Hiroshi Hamasaki
Orange, Naomi Nakayama
Aggretsuko, Rareko
Fanren Xiu Xian Chuan, Wang Yuren
Fanren Xiu Xian Chuan, Wu Zhenchao
Xue Ying Lingzhu Zhi Qiyu Pian, Liu Wei
Detective Conan Movie 21: Kara Kurenai no Love Letter, Koubun Shizuno
Kuroko's Basketball Movie 1: Winter Cup Highlights -Shadow and Light-, Shunsuke Tada
YOASOBI: Kaibutsu, Rina Mitsuzumi
The Garden of Sinners Movie 2: ...And Nothing Heart. (Murder Speculation Part A), Takuya Nonaka
Broken Blade Movie 6: Fortress of Lamentation, Tetsurou Amino
Broken Blade Movie 6: Fortress of Lamentation, Nobuyoshi Habara
Hakuouki Movie 1: Wild Dance of Kyoto, Osamu Yamasaki
Ride Your Wave, Masaaki Yuasa
Goblin Slayer, Takaharu Ozaki
Death Billiards, Yuzuru Tachikawa
D.Gray-man, Osamu Nabeshima
Broken Blade Movie 2: The Path of Separation, Tetsurou Amino
Broken Blade Movie 2: The Path of Separation, Nobuyoshi Habara
Silver Fang, Tomoharu Katsumata
Kase-san & Morning Glories, Takuya Satou
Ascendance of a Bookworm OVA, Mitsuru Hongo
Pokemon: The Origin, Itsurou Kawasaki
Pokemon: The Origin, Daiki Tomiyasu
Pokemon: The Origin, Hideya Takahashi
Pokemon: The Origin, Yukio Kuroda
The Eccentric Family 2, Masayuki Yoshihara
The Anthem of the Heart, Tatsuyuki Nagai
Magic Kaito, Toshihiro Hirano
Detective Conan Movie 12: Full Score of Fear, Yasuichiro Yamamoto
Free! Eternal Summer, Hiroko Utsumi
Seitokai Yakuindomo* OVA, Hiromitsu Kanazawa
Miss Kobayashi's Dragon Maid: Valentines and Hot Springs! (Please Don't Get Your Hopes Up), Yasuhiro Takemoto
Noragami OVA, Koutarou Tamura
Phantom: Requiem for the Phantom, Kouichi Mashimo
Durarara!! X2: My Heart Is in the Pattern of a Hot Pot, Takahiro Oomori
The Misfit of Demon King Academy, Masafumi Tamura
Free! Dive to the Future, Eisaku Kawanami
Zombie Land Saga Revenge, Munehisa Sakai
Mob Psycho 100 II: The First Spirits and Such Company Trip - A Journey that Mends the Heart and Heals the Soul, Yuzuru Tachikawa
Real Girl 2nd Season, Takashi Naoya
Kuroko's Basketball: Let's Do That Again, Shunsuke Tada
The World is Still Beautiful, Hajime Kamegaki
High School DxD BorN, Tetsuya Yanagisawa
xxxHOLiC Movie: A Midsummer Night's Dream, Tsutomu Mizushima
Is It Wrong to Try to Pick Up Girls in a Dungeon? III, Hideki Tachibana
Girls' Last Tour, Takaharu Ozaki
Blood Blockade Battlefront & Beyond, Shigehito Takayanagi
Lucky Star OVA, Yasuhiro Takemoto
When They Cry: Higurashi, Chiaki Kon
Psycho-Pass SS: Case. 3 - Onshuu no Kanata ni, Naoyoshi Shiotani
The Cat Returns, Hiroyuki Morita
Yumeiro Pâtissière, Iku Suzuki
D.Gray-man Hallow, Yoshiharu Ashino
Sword Art Online Movie: Ordinal Scale, Tomohiko Itou
Hungry Days x One Piece, Yuusuke Takase
Paprika, Satoshi Kon
Revue Starlight Movie, Tomohiro Furukawa
Magical Girl Lyrical Nanoha A's, Keizou Kusakawa
Detective Conan OVA 10: Kid in Trap Island, Koujin Ochi
Attack on Titan: Ilse's Notebook, Tetsurou Araki
Tsurune, Takuya Yamamura
Lupin III: Part IV, Yuuichirou Yano
Saint Seiya: The Lost Canvas - Meiou Shinwa, Osamu Nabeshima
Anohana: The Flower We Saw That Day Movie, Tatsuyuki Nagai
Outlaw Star, Mitsuru Hongo
Little Witch Academia TV, Yoh Yoshinari
Magical Girl Lyrical Nanoha The MOVIE 1st, Keizou Kusakawa
Magical Girl Lyrical Nanoha The MOVIE 1st, Atsushi Nakayama
Glass Mask (2005), Mamoru Hamatsu
Detective Conan Movie 17: Zekkai no Private Eye, Koubun Shizuno
Sword Art Online: Alicization, Manabu Ono
Kill La Kill, Hiroyuki Imaishi
Akame ga Kill!, Tomoki Kobayashi
Yuru Yuri San☆Hai!, Hiroyuki Hata
Alderamin on the Sky, Tetsuo Ichimura
Aria the Natural, Junichi Satou
Detective Conan Movie 7: Crossroad in the Ancient Capital, Kenji Kodama
Ghost Hunt, Akira Mano
Food Wars! The Fifth Plate, Yoshitomo Yonetani
Love Live! The School Idol Movie, Takahiko Kyougoku
Hi Score Girl II, Yoshiki Yamakawa
Kakushigoto, Yuuta Murano
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat, Masafumi Tamura
Macross Frontier, Yasuhito Kikuchi
The Story of Saiunkoku, Jun Shishido
Mobile Suit Gundam Wing: Endless Waltz, Yasunao Aoki
Golden Kamuy, Hitoshi Nanba
Major 2nd: Second Season, Ayumu Watanabe
Sword Art Online, Tomohiko Itou
Your lie in April: Moments, Kyouhei Ishiguro
Kengan Ashura 2, Seiji Kishi
Detective Conan, Kenji Kodama
Detective Conan, Yasuichiro Yamamoto
Detective Conan, Koujin Ochi
The Witcher: Nightmare of the Wolf, Kwang Il Han
Tsukigakirei, Seiji Kishi
Radiant 2nd Season, Daiki Fukuoka
My Senpai is Annoying, Ryouta Itou
Dragon Ball, Daisuke Nishio
Dragon Ball, Minoru Okazaki
My Hero Academia: Make It! Do-or-Die Survival Training, Masahiro Mukai
Slayers Try, Takashi Watanabe
Hitorijime My Hero, Yukina Hiiro
Bleach, Noriyuki Abe
Hikaru no Go: Journey to the North Star Cup, Tetsuya Endou
Pokemon: GOTCHA!, Rie Matsumoto
Detective Conan Movie 9: Strategy Above the Depths, Yasuichiro Yamamoto
Tentai Senshi Sunred 2, Seiji Kishi
Tentai Senshi Sunred 2, Takehiko Matsumoto
City Hunter 2, Kenji Kodama
Broken Blade Movie 1: The Time of Awakening, Tetsurou Amino
Broken Blade Movie 1: The Time of Awakening, Nobuyoshi Habara
Emma: A Victorian Romance - Second Act, Tsuneo Kobayashi
Full Metal Panic! The Second Raid: A Relatively Leisurely Day in the Life of a Fleet Captain, Yasuhiro Takemoto
Planetarian Movie: Hoshi no Hito, Katsuichi Nakayama
Planetarian Movie: Hoshi no Hito, Naokatsu Tsuda
The Tibetan Dog, Masayuki Kojima
Okko's Inn Movie, Kitarou Kousaka
Hanasaku Iroha, Masahiro Andou
Ashita no Joe 2, Osamu Dezaki
One Piece: Episode of Luffy - Hand Island no Bouken, Hiroyuki Morita
One Piece: Episode of Luffy - Hand Island no Bouken, Mitsuru Hongo
Vampire Hunter D: Bloodlust, Yoshiaki Kawajiri
Pretty Guardian Sailor Moon Crystal (2016), Chiaki Kon
Bloom Into You, Makoto Katou
91 Days, Hiro Kaburagi
Rakshasa Street, Heng Yu Lu
Rakshasa Street, Shu Jie Li
Seitokai Yakuindomo OVA, Hiromitsu Kanazawa
Detective Conan Movie 24: The Scarlet Bullet, Chika Nagaoka
Drifters: Special Edition, Kenichi Suzuki
Attack on Titan Movie 2: The Wings of Freedom, Tetsurou Araki
City Hunter 3, Kenji Kodama
Blast of Tempest, Masahiro Andou
Blue Exorcist Movie, Atsushi Takahashi
Digimon Adventure Tri. Movie 3: Confession, Keitarou Motonaga
Seraph of the End, Daisuke Tokudo
Yuan Long, Guo Yong
Hetalia: The Beautiful World, Hiroshi Watanabe
The Royal Tutor, Katsuya Kikuchi
Lupin III Special 21: Lupin III vs Detective Conan, Hajime Kamegaki
You and Me. 2, Mamoru Kanbe
Hetalia: World Series, Bob Shirohata
Persona 3 the Movie 4: Winter of Rebirth, Tomohisa Taguchi
Love Live! School Idol Project 2nd Season, Takahiko Kyougoku
Yumeiro Pâtissière SP Professional, Iku Suzuki
Big Windup!, Tsutomu Mizushima
"Love, Chunibyo & Other Delusions!", Tatsuya Ishihara
Interviews with Monster Girls, Ryou Andou
Elfen Lied, Mamoru Kanbe
Eureka Seven, Tomoki Kyoda
Knights of Sidonia: Battle for Planet Nine, Hiroyuki Seshita
Plastic Memories, Yoshiyuki Fujiwara
Shakugan no Shana II, Takashi Watanabe
K: Missing Kings, Hiromitsu Kanazawa
One Piece Special: Heart of Gold, Tatsuya Nagamine
Full Metal Panic!, Kouichi Chigira
Bleach Movie 4: Hell Verse, Noriyuki Abe
Cells at Work!, Kenichi Suzuki
Peace Sign, Kenji Nagasaki
Legend of the Galactic Heroes: My Conquest is the Sea of Stars, Noboru Ishiguro
Noblesse: Awakening, Shunsuke Tada
Noblesse: Awakening, Kenichi Matsuzawa
Beelzebub, Yoshihiro Takamoto
Kyo Kara Maoh! 3rd Series, Junji Nishimura
Nodame Cantabile: Finale Special, Chiaki Kon
Ajin: Demi-Human 2nd Season, Hiroaki Andou
Star Blazers: Space Battleship Yamato 2202, Nobuyoshi Habara
Magic Kaito 1412, Susumu Kudou
IDOLiSH7: Third BEAT!, Makoto Bessho
Haré+Guu DELUXE, Tsutomu Mizushima
Dusk Maiden of Amnesia, Takashi Sakamoto
Eyeshield 21, Masayoshi Nishida
Seitokai Yakuindomo Movie, Hiromitsu Kanazawa
New Game!!, Yoshiyuki Fujiwara
Taisho Otome Fairy Tale, Jun Hatori
Kemono Jihen, Masaya Fujimori
A Certain Scientific Railgun, Tatsuyuki Nagai
Hanasaku Iroha: Home Sweet Home, Masahiro Andou
Kaiba, Masaaki Yuasa
xxxHOLiC, Tsutomu Mizushima
Wan Jie Xian Zong 2nd Season,Xuan Qing
Wan Jie Xian Zong 2nd Season, Cha Bai
Future Diary, Naoto Hosoda
A Lull in the Sea, Toshiya Shinohara
Heaven's Lost Property Forte, Hisashi Saitou
Pokemon XY&Z, Tetsuo Yajima
Aria the Origination: That Secret Little Place..., Junichi Satou
Recovery of an MMO Junkie, Kazuyoshi Yaginuma
Hikaru no Go, Tetsuya Endou
Hikaru no Go, Susumu Nishizawa
Tenchi Muyo! Ryo-Ohki 2, Kenichi Yatani
Tenchi Muyo! Ryo-Ohki 2, Kenichi Yatagai
K: Return of Kings, Hiromitsu Kanazawa
Another, Tsutomu Mizushima
Pretty Guardian Sailor Moon Eternal Movie 2, Chiaki Kon
Hakuouki: A Memory of Snow Flowers, Osamu Yamasaki
Yuru Yuri Nachu Yachumi!, Hiroyuki Hata
Is It Wrong to Try to Pick Up Girls in a Dungeon? Movie: Arrow of the Orion, Katsushi Sakurabi
Non Non Biyori, Shinya Kawatsura
Chi's New Address, Mitsuyuki Masuhara
A Certain Magical Index II, Hiroshi Nishikiori
How a Realist Hero Rebuilt the Kingdom: Part II, Takashi Watanabe
The Heroic Legend of Arslan: Dust Storm Dance, Noriyuki Abe
Sound! Euphonium, Tatsuya Ishihara
Food Wars! The Third Plate: Erina no Shin Seikatsu, Yoshitomo Yonetani
The Garden of Sinners Movie 1: Thanatos. (Overlooking View), Ei Aoki
Aikatsu Stars! Hoshi no Tsubasa, Teruo Satou
Claymore, Hiroyuki Tanaka
Brand New Animal, Yoh Yoshinari
Hidamari Sketch x 365 EX, Akiyuki Simbo
Kyou kara Ore wa!!, Takeshi Mori
Kyou kara Ore wa!!, Masami Anno
Yowamushi Pedal: New Generation, Osamu Nabeshima
Super Lovers 2, Shinji Ishihira
Hakkenden: Eight Dogs of the East 2, Mitsue Yamazaki
Kokoro Connect, Shinya Kawatsura
The World God Only Knows, Shigehito Takayanagi
Eden of The East Movie II: Paradise Lost, Kenji Kamiyama
Mr. Osomatsu 2nd Season, Youichi Fujita
Sket Dance, Keiichirou Kawaguchi
Blue Exorcist: Kyoto Saga, Kouichi Hatsumi
Zoku Sayonara Zetsubou Sensei, Akiyuki Simbo
Fate/Grand Order: Absolute Demonic Front - Babylonia, Toshifumi Akai
Liang Bu Yi: Part II,Wang Fengbin
Eden of The East Movie I: The King of Eden, Kenji Kamiyama
Is It Wrong to Try to Pick Up Girls in a Dungeon? II, Hideki Tachibana
My Bride Is a Mermaid OVA, Seiji Kishi
Tiger & Bunny, Keiichi Satou
Capeta, Shin Misawa
Kaguya-sama: Love is War - Ultra Romantic PV - Yu Ishigami Wants to Discuss It, Aika Ikeda
IDOLiSH7, Makoto Bessho
Yotsuiro Biyori, Tomomi Kamiya
Hayate the Combat Butler!!, Yoshiaki Iwasaki
The Heroic Legend of Arslan, Noriyuki Abe
Mobile Suit Gundam Wing, Shinji Takamatsu
The Seven Deadly Sins Movie: Prisoners of the Sky, Yasuto Nishikata
Hell Girl: Two Mirrors, Takahiro Oomori
Super Dimensional Fortress Macross, Noboru Ishiguro
Seitokai Yakuindomo Movie 2, Hiromitsu Kanazawa
Meiji Tokyo Renka Movie: Yumihari no Serenade, Hiroshi Watanabe
My Little Monster, Hiro Kaburagi
Shiki Specials, Tetsurou Amino
Orange -Mirai-, Hiroshi Hamasaki
Mobile Suit Gundam: Thunderbolt - December Sky, Kou Matsuo
Mr. Osomatsu, Youichi Fujita
Yuru Yuri ♪♪, Masahiko Oota
Wan Jie Xian Zong,Jiang Zi
Symphogear XV, Katsumi Ono
Cardcaptor Sakura: Clear Card-hen, Morio Asaka
The Familiar of Zero: Knight of the Twin Moons, Yuu Kou
Hidamari Sketch x Honeycomb, Akiyuki Simbo
Xue Ying Lingzhu 2nd Season, Liu Wei
The Irregular at Magic High School, Manabu Ono
"Say ""I love you.""", Toshimasa Kuroyanagi
"Say ""I love you.""", Takuya Satou
Golden Time, Chiaki Kon
Eve: Ao no Waltz, Nobutaka Yoda
Seitokai Yakuindomo*, Hiromitsu Kanazawa
Master Keaton OVA, Masayuki Kojima
The Garden of Sinners Movie 6: Fairy Tale. (Oblivion Recording), Takahiro Miura
Fairy Tail Movie 1: Phoenix Priestess, Masaya Fujimori
Hinomaru Sumo, Yasutaka Yamamoto
Hinomaru Sumo, Konousuke Uda
Tamayura: Sotsugyou Shashin Movie 4 - Ashita, Junichi Satou
Drifters Specials, Kenichi Suzuki
The Prince of Tennis: Another Story - Kako to Mirai no Message, Shunsuke Tada
"Problem Children Are Coming From Another World, Aren't They?", Yasutaka Yamamoto
Fullmetal Alchemist The Movie: Conqueror of Shamballa, Seiji Mizushima
Death Note Rewrite 1: Visions of a God, Tetsurou Araki
School Rumble: Extra Class, Shinji Takamatsu
Kobato., Mitsuyuki Masuhara
Kill La Kill Special, Hiroyuki Imaishi
Ie Naki Ko Remi, Kozo Kuzuha
Ani ni Tsukeru Kusuri wa Nai! 2, Rareko
Azumanga Daioh, Hiroshi Nishikiori
The Slime Diaries: That Time I Got Reincarnated as a Slime, Shintarou Inokawa
The Slime Diaries: That Time I Got Reincarnated as a Slime, Shin Tosaka
The Slime Diaries: That Time I Got Reincarnated as a Slime, Yuuji Haibara
Aria the OVA: Arietta, Junichi Satou
The Dog of Flanders Movie, Yoshio Kuroda
Nura: Rise of the Youkai Clan, Junji Nishimura
The God of High School, Seong-Hu Park
Beyond the Boundary, Taichi Ishidate
The Irregular at Magic High School Movie: The Girl Who Summons the Stars, Risako Yoshida
Kingdom, Jun Kamiya
Kabaneri of the Iron Fortress Movie: The Battle of Unato, Tetsurou Araki
Hyperventilation, Ppungppangkkyu
Fate/stay night: Unlimited Blade Works Movie, Yuuji Yamaguchi
Yowamushi Pedal The Movie, Osamu Nabeshima
Yowamushi Pedal The Movie, Norihiro Naganuma
High School DxD Hero, Yoshifumi Sueda
Chivalry of a Failed Knight, Jin Tamamura
Saiyuki Reload: Burial, Kouichi Oohata
Hidamari Sketch x Hoshimittsu Specials, Akiyuki Simbo
Last Exile, Kouichi Chigira
The Morose Mononokean, Akira Iwanaga
Boruto: Naruto the Movie, Hiroyuki Yamashita
Ani ni Tsukeru Kusuri wa Nai! 3, Rareko
Carnival Phantasm, Seiji Kishi
Wan Jie Xian Zong 4th Season,Jiang Zi
Wan Jie Xian Zong 4th Season, Xuan Qing
Fairy Tail OVA, Shinji Ishihira
Digimon Adventure Tri. Movie 2: Determination, Keitarou Motonaga
InuYasha The Movie 3: Swords of an Honorable Ruler, Toshiya Shinohara
Tiger & Bunny The Movie: The Rising, Yoshitomo Yonetani
Towanoquon Movie 6: Eternal Quon, Takeshi Mori
Towanoquon Movie 6: Eternal Quon, Umanosuke Iida
Sora no Aosa wo Shiru Hito yo, Tatsuyuki Nagai
Hidamari Sketch x Hoshimittsu, Akiyuki Simbo
To Love Ru: Darkness, Atsushi Ootsuki
Mobile Suit Gundam SEED, Mitsuo Fukuda
Legend of the Galactic Heroes: Die Neue These, Shunsuke Tada
Yuru Yuri Nachu Yachumi!+, Hiroyuki Hata
Saint Seiya: The Hades Chapter - Inferno, Tomoharu Katsumata
Cardcaptor Sakura, Morio Asaka
Rilakkuma and Kaoru, Masahito Kobayashi
The Royal Tutor Movie, Katsuya Kikuchi
Yamada-kun and the Seven Witches, Seiki Takuno
Kuma Kuma Kuma Bear, Hisashi Ishii
Kuma Kuma Kuma Bear, Yuu Nobuta
Is this a Zombie? Of the Dead, Takaomi Kanasaki
She and Her Cat: Everything Flows, Kazuya Sakamoto
Tegami Bachi: Letter Bee Reverse, Akira Iwanaga
Maria Watches Over Us Season 3, Yukihiro Matsushita
Tekkon Kinkreet, Michael Arias
Haibane Renmei, Tomokazu Tokoro
The Ancient Magus' Bride: The Boy from the West and the Knight of the Blue Storm, Kazuaki Terasawa
One-Punch Man 2 Specials, Chikara Sakurai
ORESUKI: Are you the only one who loves me? Ore-tachi no Game Set, Noriaki Akitaya
School Rumble, Shinji Takamatsu
Goblin Slayer: Goblin's Crown, Takaharu Ozaki
Mobile Suit Gundam 00 Special Edition II: End of World, Seiji Mizushima
Working!!, Yoshimasa Hiraike
Thus Spoke Kishibe Rohan, Toshiyuki Katou
Special A, Yoshikazu Miyao
Cells at Work!!, Hirofumi Ogura
Mobile Suit Gundam 00 Special Edition I: Celestial Being, Seiji Mizushima
The Familiar of Zero F, Yoshiaki Iwasaki
The Prince of Tennis Movie 2: Eikoku-shiki Teikyuu Shiro Kessen!, Shunsuke Tada
Sweetness & Lightning, Tarou Iwasaki
High School DxD, Tetsuya Yanagisawa
Tokyo Ghoul √A, Shuuhei Morita
The Kawai Complex Guide to Manors and Hostel Behavior, Shigeyuki Miya
Gangsta., Shuukou Murase
Gangsta., Kouichi Hatsumi
Princess Tutu, Junichi Satou
"Don't Toy With Me, Miss Nagatoro", Hirokazu Hanai
Re:ZERO -Starting Life in Another World- The Frozen Bond, Masaharu Watanabe
Good Luck Girl!, Youichi Fujita
To Love Ru: Darkness 2nd, Atsushi Ootsuki
Words Bubble Up Like Soda Pop, Kyouhei Ishiguro
Magical Girl Lyrical Nanoha: Detonation, Takayuki Hamana
Tales of Vesperia ~The First Strike~, Kanta Kamei
Full Metal Panic! Invisible Victory, Katsuichi Nakayama
Danganronpa 3: The End of Hope's Peak Academy- Hope Arc, Daiki Fukuoka
Irresponsible Captain Tylor, Kouichi Mashimo
Baki: The Great Raitai Tournament Saga, Toshihiro Hirano
Re:ZERO -Starting Life in Another World- Memory Snow, Masaharu Watanabe
Forest of Piano Movie, Masayuki Kojima
Dragon Ball Z Kai, Yasuhiro Nowatari
The Princess and the Pilot, Jun Shishido
Yakitate!! Japan, Yasunao Aoki
The Irregular at Magic High School: Visitor Arc, Risako Yoshida
One Piece Movie 4: Dead End Adventure, Konousuke Uda
Hellsing, Umanosuke Iida
Persona 3 the Movie 2: Midsummer Knight's Dream, Tomohisa Taguchi
Maison Ikkoku, Takashi Annou
Maison Ikkoku, Kazuo Yamazaki
Maison Ikkoku, Naoyuki Yoshinaga
Maria Watches Over Us Season 4, Toshiyuki Katou
Kikuo: Aishite Aishite Aishite,Sashitama
WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?, Junichi Wada
Mobile Suit Gundam 00 Special Edition III: Return the World, Seiji Mizushima
Xue Ying Lingzhu, Liu Wei
Beyond the Boundary Movie: I'll Be Here - Past, Taichi Ishidate
Trinity Seven Movie 2: Heavens Library & Crimson Lord, Hiroshi Nishikiori
Food Wars! Jump Festa 2016 Special, Yoshitomo Yonetani
Strawberry Marshmallow OVA, Takuya Satou
Fanren Xiu Xian Chuan Specials: Yan Jia Bao Dazhan,Wang Yuren
Fanren Xiu Xian Chuan Specials: Yan Jia Bao Dazhan, Wu Zhenchao
Initial D Battle Stage 2, Tsuneo Tominaga
Ranma 1/2 OVA, Junji Nishimura
Haikara-San: Here Comes Miss Modern Part 1, Kazuhiro Furuhashi
Banner of the Stars II, Yasuchika Nagaoka
Towanoquon Movie 4: The Roaring Anxiety, Takeshi Mori
Towanoquon Movie 4: The Roaring Anxiety, Umanosuke Iida
Shiki, Tetsurou Amino
Psycho-Pass SS: Case. 2 - First Guardian, Naoyoshi Shiotani
"Love, Chunibyo & Other Delusions! Heart Throb", Tatsuya Ishihara
School-Live!, Masaomi Andou
Death Note Rewrite 2: L's Successors, Tetsurou Araki
Saekano: How to Raise a Boring Girlfriend Flat, Kanta Kamei
No. 6, Kenji Nagasaki
Tsuredure Children, Hiraku Kaneko
Sekirei: Pure Engagement, Keizou Kusakawa
"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway", Manabu Kamikita
Haré+Guu FINAL, Tsutomu Mizushima
Gargantia on the Verdurous Planet, Kazuya Murata
Tsubasa Reservoir Chronicle 2nd Season, Kouichi Mashimo
Tsubasa Reservoir Chronicle 2nd Season, Hiroshi Morioka
Arashi no Yoru ni, Gisaburou Sugii
Ghost in the Shell 2: Innocence, Mamoru Oshii
Shinsei Kamattechan: Ruru's Suicide Show on a Livestream,Rabbit Machine
Pandora Hearts, Takao Kato
Twittering Birds Never Fly ~The Clouds Gather~, Kaori Makita
Minami-ke Tadaima, Keiichirou Kawaguchi
Is the Order a Rabbit?? Season 2, Hiroyuki Hashimoto
Eve: Inochi no Tabekata,Marie Yasui
Hi Score Girl, Yoshiki Yamakawa
Full Moon wo Sagashite, Toshiyuki Katou
Aikatsu! The Movie, Yuuichirou Yano
Darwin's Game, Yoshinobu Tokumoto
Mobile Suit Gundam: Thunderbolt, Kou Matsuo
"The Familiar of Zero: ""Rondo"" of Princesses", Yuu Kou
Colorful (2010), Keiichi Hara
Iga no Kabamaru, Tameo Kohanawa
Unbelievable Space Love, Ppungppangkkyu
"Sayonara, Zetsubou-Sensei", Akiyuki Simbo
Ranma 1/2 Akumu! Shunmin Kou, Takeshi Mori
Girls und Panzer: This is the Real Anzio Battle!, Tsutomu Mizushima
Aria the Avvenire, Junichi Satou
Professor Layton and the Eternal Diva, Masakazu Hashimoto
Psycho-Pass 2, Naoyoshi Shiotani
Psycho-Pass 2, Kiyotaka Suzuki
Those Snow White Notes, Hiroaki Akagi
Lupin III: Part II, Seijun Suzuki
Darker than Black: Gemini of the Meteor, Tensai Okamura
Rage of Bahamut: Virgin Soul, Keiichi Satou
Kingsglaive: Final Fantasy XV, Takeshi Nozu
Strawberry Marshmallow Encore, Takuya Satou
Space Battleship Yamato 2199: Odyssey of the Celestial Ark, Yutaka Izubuchi
Space Battleship Yamato 2199: Odyssey of the Celestial Ark, Makoto Bessho
Free! - Iwatobi Swim Club, Hiroko Utsumi
Kaleido Star, Junichi Satou
Kaleido Star, Yoshimasa Hiraike
Knights of Sidonia, Koubun Shizuno
Genshiken OVA, Tsutomu Mizushima
Shakugan no Shana III, Takashi Watanabe
Pretty Guardian Sailor Moon Eternal Movie 1, Chiaki Kon
